date,value,norm
1947-01-01,21.48,
1947-02-01,21.62,
1947-03-01,22.0,
1947-04-01,22.0,
1947-05-01,21.95,
1947-06-01,22.08,
1947-07-01,22.23,
1947-08-01,22.4,
1947-09-01,22.84,
1947-10-01,22.91,
1947-11-01,23.06,
1947-12-01,23.41,
1948-01-01,23.68,
1948-02-01,23.67,
1948-03-01,23.5,
1948-04-01,23.82,
1948-05-01,24.01,
1948-06-01,24.15,
1948-07-01,24.4,
1948-08-01,24.43,
1948-09-01,24.36,
1948-10-01,24.31,
1948-11-01,24.16,
1948-12-01,24.05,
1949-01-01,24.01,
1949-02-01,23.91,
1949-03-01,23.91,
1949-04-01,23.92,
1949-05-01,23.91,
1949-06-01,23.92,
1949-07-01,23.7,
1949-08-01,23.7,
1949-09-01,23.75,
1949-10-01,23.67,
1949-11-01,23.7,
1949-12-01,23.61,0.25294086882295136
1950-01-01,23.51,0.07432807373120866
1950-02-01,23.61,0.14286135817530038
1950-03-01,23.64,0.1296178754550886
1950-04-01,23.65,0.08306157572987445
1950-05-01,23.77,0.2176238358649579
1950-06-01,23.88,0.36944453349716544
1950-07-01,24.07,0.750917207142301
1950-08-01,24.2,1.0923092273587462
1950-09-01,24.34,1.470375236898177
1950-10-01,24.5,1.9340501436975956
1950-11-01,24.6,2.1871064275416265
1950-12-01,24.98,2.964471806046231
1951-01-01,25.38,3.3391877528676974
1951-02-01,25.83,3.500529898533328
1951-03-01,25.88,3.035692695846828
1951-04-01,25.92,2.6881355984970248
1951-05-01,25.99,2.4677226920533832
1951-06-01,25.93,2.1538095454852457
1951-07-01,25.91,1.9555137915669907
1951-08-01,25.86,1.75984463313902
1951-09-01,26.03,1.815779563979945
1951-10-01,26.16,1.8140991657746517
1951-11-01,26.32,1.8314499818730818
1951-12-01,26.47,1.8299165255314966
1952-01-01,26.45,1.6801183145194907
1952-02-01,26.41,1.5340367552770724
1952-03-01,26.39,1.4216332835409924
1952-04-01,26.46,1.394435258541903
1952-05-01,26.47,1.3207320533014488
1952-06-01,26.53,1.2936066828830681
1952-07-01,26.68,1.3423844253566788
1952-08-01,26.69,1.2768270216624782
1952-09-01,26.63,1.1602614270313134
1952-10-01,26.69,1.1499695624402082
1952-11-01,26.69,1.0924393344847425
1952-12-01,26.71,1.0578879006596258
1953-01-01,26.64,0.9509419668135478
1953-02-01,26.59,0.8627513534244188
1953-03-01,26.63,0.8633732819917485
1953-04-01,26.69,0.8920307483189305
