date,value,log_return
1993-02-28,24.57241821,
1993-03-31,25.12283516,0.02215259694548788
1993-04-30,24.47997856,-0.025921618054195683
1993-05-31,25.14021301,0.026613094250929503
1993-06-30,25.23088837,0.0036002968154877912
1993-07-31,25.10841179,-0.004866051823605666
1993-08-31,26.07075691,0.0376113402096534
1993-09-30,25.88108444,-0.007301889896892622
1993-10-31,26.39165306,0.01953541680735782
1993-11-30,26.1099472,-0.010731427694397055
1993-12-31,26.43048477,0.012201709609918066
1994-01-31,27.3522644,0.03428124875425187
1994-02-28,26.5545826,-0.029596983429089896
1994-03-31,25.44191742,-0.04280422951561835
1994-04-30,25.72716904,0.011149488674652375
1994-05-31,26.13723946,0.01581350206211196
1994-06-30,25.53832817,-0.023180707469228068
1994-07-31,26.36387634,0.031814363510165755
1994-08-31,27.36890411,0.03741272973390197
1994-09-30,26.67769814,-0.025579541712659193
1994-10-31,27.4360466,0.0280297774202678
1994-11-30,26.34366989,-0.0406297038854424
1994-12-31,26.53550911,0.007255788204930003
1995-01-31,27.42730522,0.03305525559927469
1995-02-28,28.54660606,0.03999899392507045
1995-03-31,29.34155655,0.027466771477071106
1995-04-30,30.21075058,0.029193017050503922
1995-05-31,31.40928841,0.03890581790158709
1995-06-30,32.04468918,0.020027807017100052
1995-07-31,33.07541275,0.03165872371301148
1995-08-31,33.22266388,0.004442100875862387
1995-09-30,34.63053894,0.04150363108712174
1995-10-31,34.52872467,-0.0029443443506815825
1995-11-30,36.0646019,0.04352025074246413
1995-12-31,36.63200378,0.01561045105142922
1996-01-31,37.93529129,0.034959568878166536
1996-02-29,38.05632019,0.003185325326724442
1996-03-31,38.71157837,0.017071565228710117
1996-04-30,39.13235092,0.010810776174966286
1996-05-31,40.02064514,0.022445935313609056
1996-06-30,40.37371826,0.008783585691122031
1996-07-31,38.55948639,-0.04597688526433119
1996-08-31,39.30210114,0.019075831675972488
1996-09-30,41.49801254,0.05436755391925363
1996-10-31,42.83969498,0.03181959008542323
1996-11-30,45.96717072,0.07046233612541597
1996-12-31,44.87326431,-0.024085293966564336
1997-01-31,47.64580154,0.059952348098288866
1997-02-28,48.1015625,0.00952014516157762
1997-03-31,45.97921753,-0.045125159417713334
1997-04-30,48.85765076,0.060721482051892206
1997-05-31,51.94580841,0.06129004558243878
1997-06-30,54.08091736,0.04028036540037938
1997-07-31,58.36754608,0.07627862294900156
