Price,value
Ticker,XLU
date,
1998-12-22,11.834161758422852
1998-12-23,11.784562110900879
1998-12-24,12.001538276672363
1998-12-28,11.939544677734375
1998-12-29,12.137921333312988
1998-12-30,12.038728713989258
1998-12-31,11.995333671569824
1999-01-04,11.803165435791016
1999-01-05,11.945743560791016
1999-01-06,12.069725036621094
1999-01-07,12.026335716247559
1999-01-08,12.094522476196289
1999-01-11,11.772170066833496
1999-01-12,11.778366088867188
1999-01-13,11.858960151672363
1999-01-14,11.660584449768066
1999-01-15,11.716378211975098
1999-01-19,12.11312484741211
1999-01-20,12.063529014587402
1999-01-21,12.020135879516602
1999-01-22,12.100720405578613
1999-01-25,11.648191452026367
1999-01-26,11.877553939819336
1999-01-27,11.697779655456543
1999-01-28,11.716378211975098
1999-01-29,11.697779655456543
1999-02-01,11.672980308532715
1999-02-02,11.518004417419434
1999-02-03,11.579998016357422
1999-02-04,11.406420707702637
1999-02-05,11.412618637084961
1999-02-08,11.412618637084961
1999-02-09,11.462212562561035
1999-02-10,11.381624221801758
1999-02-11,11.431220054626465
1999-02-12,11.2452392578125
1999-02-16,11.449811935424805
1999-02-17,11.369221687316895
1999-02-18,11.573796272277832
1999-02-19,11.449811935424805
1999-02-22,11.821763038635254
1999-02-23,11.449811935424805
1999-02-24,11.555198669433594
1999-02-25,11.307229995727539
1999-02-26,11.375423431396484
1999-03-01,11.20804500579834
1999-03-02,11.040667533874512
1999-03-03,11.046870231628418
1999-03-04,11.220443725585938
1999-03-05,11.412618637084961
1999-03-08,11.282438278198242
1999-03-09,11.251432418823242
1999-03-10,11.21424674987793
1999-03-11,11.301033020019531
1999-03-12,11.425020217895508
1999-03-15,11.456011772155762
1999-03-16,11.412618637084961
1999-03-17,11.307229995727539
1999-03-18,11.474611282348633
1999-03-19,11.26305103302002
1999-03-22,11.300490379333496
1999-03-23,10.944815635681152
1999-03-24,11.094572067260742
1999-03-25,11.057133674621582
1999-03-26,10.913618087768555
1999-03-29,10.85745620727539
1999-03-30,10.68273639678955
1999-03-31,10.657776832580566
1999-04-01,10.882415771484375
1999-04-05,10.96977710723877
1999-04-06,10.913618087768555
1999-04-07,11.057133674621582
1999-04-08,11.350406646728516
1999-04-09,11.269291877746582
1999-04-12,11.431528091430664
1999-04-13,11.244331359863281
1999-04-14,11.082091331481934
1999-04-15,11.194415092468262
1999-04-16,11.319210052490234
1999-04-19,11.431528091430664
1999-04-20,11.556331634521484
1999-04-21,11.762248039245605
1999-04-22,11.72480583190918
1999-04-23,11.718563079833984
1999-04-26,11.656166076660156
1999-04-27,11.72480583190918
1999-04-28,11.674882888793945
1999-04-29,11.843361854553223
1999-04-30,11.68736457824707
1999-05-03,11.862080574035645
1999-05-04,11.762248039245605
1999-05-05,11.855842590332031
1999-05-06,11.606253623962402
1999-05-07,11.749764442443848
1999-05-10,11.718563079833984
1999-05-11,11.762248039245605
1999-05-12,11.793445587158203
1999-05-13,11.949440956115723
1999-05-14,11.72480583190918
1999-05-17,11.968165397644043
1999-05-18,11.706085205078125
1999-05-19,11.949440956115723
1999-05-20,11.92448616027832
1999-05-21,11.812169075012207
1999-05-24,11.93072509765625
1999-05-25,11.943203926086426
1999-05-26,12.005602836608887
1999-05-27,11.799683570861816
1999-05-28,11.824640274047852
1999-06-01,11.81840705871582
1999-06-02,11.81840705871582
1999-06-03,11.706085205078125
1999-06-04,11.880805969238281
1999-06-07,11.980645179748535
1999-06-08,11.980645179748535
1999-06-09,12.074246406555176
1999-06-10,11.974404335021973
1999-06-11,11.893285751342773
1999-06-14,12.223995208740234
1999-06-15,12.236478805541992
1999-06-16,12.355033874511719
1999-06-17,12.2489595413208
1999-06-18,12.292703628540039
1999-06-21,12.198535919189453
1999-06-22,12.154582023620605
1999-06-23,12.116908073425293
1999-06-24,11.985071182250977
1999-06-25,11.922287940979004
1999-06-28,12.047858238220215
1999-06-29,12.054137229919434
1999-06-30,12.311538696289062
1999-07-01,12.267596244812012
1999-07-02,12.273863792419434
1999-07-06,12.23620319366455
1999-07-07,12.349210739135742
1999-07-08,12.248753547668457
1999-07-09,12.248753547668457
1999-07-12,12.198535919189453
1999-07-13,12.14202880859375
1999-07-14,12.217364311218262
1999-07-15,12.405705451965332
1999-07-16,12.550115585327148
1999-07-19,12.430821418762207
1999-07-20,12.487323760986328
1999-07-21,12.562664031982422
1999-07-22,12.543830871582031
1999-07-23,12.462218284606934
1999-07-26,12.481051445007324
1999-07-27,12.556387901306152
1999-07-28,12.531275749206543
1999-07-29,12.3240966796875
1999-07-30,12.349210739135742
1999-08-02,12.537552833557129
1999-08-03,12.455942153930664
1999-08-04,12.267596244812012
1999-08-05,12.380603790283203
1999-08-06,12.330376625061035
1999-08-09,12.380603790283203
1999-08-10,12.154582023620605
1999-08-11,12.091802597045898
1999-08-12,12.029020309448242
1999-08-13,12.185977935791016
1999-08-16,12.091802597045898
1999-08-17,12.22364330291748
1999-08-18,12.148311614990234
1999-08-19,12.010185241699219
1999-08-20,11.978795051574707
1999-08-23,12.035300254821777
1999-08-24,12.00390911102295
1999-08-25,12.173421859741211
1999-08-26,12.179701805114746
1999-08-27,12.016465187072754
1999-08-30,11.853230476379395
1999-08-31,11.75905704498291
1999-09-01,11.80300521850586
1999-09-02,11.639772415161133
1999-09-03,11.859506607055664
1999-09-07,11.77789306640625
1999-09-08,11.608380317687988
1999-09-09,11.65233039855957
1999-09-10,11.696280479431152
1999-09-13,11.80300521850586
1999-09-14,11.809284210205078
1999-09-15,11.821839332580566
1999-09-16,11.75905704498291
