date,value,norm
1957-12-01,5.2,0.2756435621963493
1958-01-01,5.8,-0.0759528793643229
1958-02-01,6.4,-0.4275493209249956
1958-03-01,6.7,-0.6033475417053317
1958-04-01,7.4,-1.0135433901927828
1958-05-01,7.4,-1.0135433901927828
1958-06-01,7.3,-0.9549439832660038
1958-07-01,7.5,-1.0721427971195614
1958-08-01,7.4,-1.0135433901927828
1958-09-01,7.1,-0.8377451694124464
1958-10-01,6.7,-0.6033475417053317
1958-11-01,6.2,-0.310350507071438
1958-12-01,6.2,-0.310350507071438
1959-01-01,6.0,-0.19315169321788048
1959-02-01,5.9,-0.13455228629110194
1959-03-01,5.6,0.04124593448923466
1959-04-01,5.2,0.2756435621963493
1959-05-01,5.1,0.33424296912312834
1959-06-01,5.0,0.39284237604990685
1959-07-01,5.1,0.33424296912312834
1959-08-01,5.2,0.2756435621963493
1959-09-01,5.5,0.09984534141601319
1959-10-01,5.7,-0.017353472437544384
1959-11-01,5.8,-0.0759528793643229
1959-12-01,5.3,0.21704415526957074
1960-01-01,5.2,0.2756435621963493
1960-02-01,4.8,0.5100411899034644
1960-03-01,5.4,0.1584447483427917
1960-04-01,5.2,0.2756435621963493
1960-05-01,5.1,0.33424296912312834
1960-06-01,5.4,0.1584447483427917
1960-07-01,5.5,0.09984534141601319
1960-08-01,5.6,0.04124593448923466
1960-09-01,5.5,0.09984534141601319
1960-10-01,6.1,-0.251751100144659
1960-11-01,6.1,-0.251751100144659
1960-12-01,6.6,-0.5447481347785527
1961-01-01,6.6,-0.5447481347785527
1961-02-01,6.9,-0.7205463555588892
1961-03-01,6.9,-0.7205463555588892
1961-04-01,7.0,-0.7791457624856678
1961-05-01,7.1,-0.8377451694124464
1961-06-01,6.9,-0.7205463555588892
1961-07-01,7.0,-0.7791457624856678
1961-08-01,6.6,-0.5447481347785527
1961-09-01,6.7,-0.6033475417053317
1961-10-01,6.5,-0.48614872785177415
1961-11-01,6.1,-0.251751100144659
1961-12-01,6.0,-0.19315169321788048
1962-01-01,5.8,-0.0759528793643229
1962-02-01,5.5,0.09984534141601319
1962-03-01,5.6,0.04124593448923466
1962-04-01,5.6,0.04124593448923466
1962-05-01,5.5,0.09984534141601319
1962-06-01,5.5,0.09984534141601319
1962-07-01,5.4,0.1584447483427917
1962-08-01,5.7,-0.017353472437544384
1962-09-01,5.6,0.04124593448923466
1962-10-01,5.4,0.1584447483427917
1962-11-01,5.7,-0.017353472437544384
1962-12-01,5.5,0.09984534141601319
1963-01-01,5.7,-0.017353472437544384
1963-02-01,5.9,-0.13455228629110194
1963-03-01,5.7,-0.017353472437544384
