date,value,norm
1972-06-01,749.7,2.112597137299754
1972-07-01,759.5,2.1387191610477196
1972-08-01,768.7,2.1490859565963065
1972-09-01,778.3,2.159036939713629
1972-10-01,786.9,2.1502355973288494
1972-11-01,793.9,2.118993335612631
1972-12-01,802.3,2.1054167301087907
1973-01-01,810.3,2.0850921288835313
1973-02-01,814.1,2.0158002429394757
1973-03-01,815.3,1.9233132072303198
1973-04-01,819.7,1.8755462005733308
1973-05-01,826.8,1.8612283547111876
1973-06-01,833.3,1.8404227247734442
1973-07-01,836.5,1.7857495378755879
1973-08-01,838.8,1.7267322874376616
1973-09-01,839.3,1.6545768491799548
1973-10-01,842.6,1.6172721859477635
1973-11-01,848.9,1.61366859016184
1973-12-01,855.5,1.613573674416468
1974-01-01,859.7,1.5894716435553258
1974-02-01,864.2,1.5705966848799715
1974-03-01,870.1,1.5673662235813388
1974-04-01,872.9,1.5340310002413322
1974-05-01,874.6,1.4927608224254818
1974-06-01,877.8,1.4712278048203529
1974-07-01,881.4,1.4564536422251682
1974-08-01,884.1,1.4351741546975578
1974-09-01,887.9,1.4275728136199142
1974-10-01,893.3,1.438314337465325
1974-11-01,898.6,1.4492616570855814
1974-12-01,902.1,1.4419879164688423
1975-01-01,906.3,1.4434872804457324
1975-02-01,914.1,1.485316458173745
1975-03-01,925.0,1.5610427165888578
1975-04-01,935.1,1.626100972222952
1975-05-01,947.9,1.7183765953646983
1975-06-01,963.0,1.8295333450419118
1975-07-01,975.1,1.8978739994140505
1975-08-01,983.1,1.9143187194466922
1975-09-01,991.5,1.9318609789722947
1975-10-01,997.8,1.9245646599230872
1975-11-01,1006.9,1.9468129091059598
1975-12-01,1016.2,1.9681852043563648
1976-01-01,1026.6,1.997224041897385
1976-02-01,1040.3,2.055640132248656
1976-03-01,1050.0,2.064749468785737
1976-04-01,1060.8,2.082000393877974
1976-05-01,1072.1,2.099113997856072
1976-06-01,1077.6,2.054675000884049
1976-07-01,1086.3,2.043288674626982
1976-08-01,1098.7,2.0663346998273147
1976-09-01,1110.8,2.081720402787549
1976-10-01,1125.0,2.1111915798613228
1976-11-01,1138.2,2.1231351615116605
1976-12-01,1152.0,2.133878369596228
1977-01-01,1165.2,2.1330444520265828
1977-02-01,1177.6,2.1211495265978466
1977-03-01,1188.5,2.0950595002750076
1977-04-01,1199.6,2.070058467185825
1977-05-01,1209.0,2.031836261207577
1977-06-01,1217.8,1.991916912344646
1977-07-01,1226.7,1.9564568600859336
1977-08-01,1237.0,1.9334949330439422
1977-09-01,1246.2,1.9032163962020825
1977-10-01,1254.0,1.8648100642615384
1977-11-01,1262.4,1.8336931687621258
1977-12-01,1270.3,1.8018542196702994
1978-01-01,1279.7,1.7830917437659553
1978-02-01,1285.5,1.7421356209812087
1978-03-01,1292.2,1.7101036888488201
1978-04-01,1300.4,1.6899097051388874
1978-05-01,1310.5,1.6833834851198737
1978-06-01,1318.5,1.6638954994996302
1978-07-01,1324.1,1.6306121349251317
1978-08-01,1333.5,1.6241857063907081
1978-09-01,1345.0,1.6320361753661348
1978-10-01,1352.3,1.613776267510737
1978-11-01,1359.1,1.5944639892511636
1978-12-01,1366.0,1.578200179348757
1979-01-01,1371.6,1.5560050289285081
1979-02-01,1377.8,1.5398985192494072
1979-03-01,1387.8,1.5497614881386768
1979-04-01,1402.1,1.587859808269198
1979-05-01,1410.2,1.5863510632956141
1979-06-01,1423.0,1.6159623994118903
1979-07-01,1434.8,1.6378336656175503
1979-08-01,1446.6,1.658899296520239
1979-09-01,1454.1,1.6507960326708222
1979-10-01,1460.4,1.634573216224489
1979-11-01,1465.9,1.6139915864750123
1979-12-01,1473.7,1.6105376617516176
1980-01-01,1482.7,1.6160285774965706
1980-02-01,1494.6,1.6418186943086936
1980-03-01,1499.8,1.6225300361853223
1980-04-01,1502.2,1.5864669107549425
1980-05-01,1512.3,1.6050893636348431
1980-06-01,1529.2,1.6685460557201475
1980-07-01,1545.5,1.7244301283066308
1980-08-01,1561.5,1.774374253721424
1980-09-01,1574.0,1.7965178184453654
1980-10-01,1584.8,1.806949364260362
1980-11-01,1595.8,1.8185049255516244
1980-12-01,1599.8,1.7810537331998697
1981-01-01,1606.9,1.767025958080046
1981-02-01,1618.7,1.784862221184664
1981-03-01,1636.6,1.8414000671386548
1981-04-01,1659.2,1.9222551576902638
1981-05-01,1664.2,1.875957401924532
1981-06-01,1670.3,1.839595145957023
1981-07-01,1681.9,1.8415724255274548
1981-08-01,1694.3,1.8470978047468514
1981-09-01,1706.0,1.8464378444274414
1981-10-01,1721.8,1.8710812872204512
1981-11-01,1736.1,1.8824908736263857
1981-12-01,1755.5,1.9227699543270862
1982-01-01,1770.4,1.929214361556308
1982-02-01,1774.5,1.8680832426080325
1982-03-01,1786.5,1.8598436526227053
1982-04-01,1803.9,1.8835877021581653
1982-05-01,1815.4,1.8686383094103522
1982-06-01,1826.0,1.8494767625175115
1982-07-01,1831.5,1.8022345039046
1982-08-01,1845.2,1.8059544552654014
1982-09-01,1858.4,1.8053696321397212
1982-10-01,1869.7,1.7934825588646977
1982-11-01,1883.7,1.797751953998329
1982-12-01,1905.9,1.8460122112852757
1983-01-01,1959.4,2.055259826145567
1983-02-01,1996.8,2.1497913478164397
1983-03-01,2015.2,2.132161884718706
1983-04-01,2028.6,2.0898661654963715
1983-05-01,2043.1,2.0568373793590187
1983-06-01,2053.5,2.0069321325383576
1983-07-01,2064.8,1.965457676756493
1983-08-01,2074.0,1.9165563552615728
1983-09-01,2083.2,1.8720317854719108
