date,value,norm
1921-09-01,16.1,-1.731854155733416
1921-10-01,16.2,-1.5953784754631926
1921-11-01,16.2,-1.4969334424539247
1921-12-01,16.0,-1.4501946482565977
1922-01-01,15.7,-1.427939670823338
1922-02-01,16.0,-1.2916124455902032
1922-03-01,16.0,-1.2255741772710256
1922-04-01,16.1,-1.1440378804374947
1922-05-01,16.6,-0.990833067814699
1922-06-01,16.6,-0.9424484377400334
1922-07-01,17.1,-0.7990838070989333
1922-08-01,17.0,-0.7749434153813471
1922-09-01,17.1,-0.7146577402871466
1922-10-01,17.2,-0.6560177994563339
1922-11-01,17.3,-0.5975700324399107
1922-12-01,17.3,-0.5572298335714955
1923-01-01,17.6,-0.45455717502730264
1923-02-01,17.8,-0.37052539413776636
1923-03-01,18.0,-0.28269939839496333
1923-04-01,17.9,-0.25498769535018595
1923-05-01,17.5,-0.3005778268920743
1923-06-01,17.3,-0.30127136734700394
1923-07-01,17.0,-0.3418558465308141
1923-08-01,16.9,-0.32966925744695735
1923-09-01,17.2,-0.1250201443581181
1923-10-01,17.1,-0.08498305850735241
1923-11-01,17.0,-0.052236650344478455
1923-12-01,16.9,-0.0564585554448302
1924-01-01,17.2,0.49650692491040715
1924-02-01,17.2,0.5618388938884307
1924-03-01,17.0,0.2769243878108851
1924-04-01,16.7,-0.20779290873087225
1924-05-01,16.5,-0.5345224838249027
1924-06-01,16.4,-0.7238645230758859
1924-07-01,16.5,-0.5843444705723759
1924-08-01,16.7,-0.276937330649563
1924-09-01,16.7,-0.31364251329057896
1924-10-01,16.9,0.010171829473959546
1924-11-01,17.1,0.3379417438646552
1924-12-01,17.5,1.0378635975728512
1925-01-01,17.7,1.402170414516583
1925-02-01,17.9,1.7406387999033537
1925-03-01,17.9,1.6880952581137667
1925-04-01,17.5,0.7863933444988737
1925-05-01,17.5,0.7408124092810747
1925-06-01,17.7,1.1508298956924161
1925-07-01,18.0,1.728713921517331
1925-08-01,17.9,1.4083737016563296
1925-09-01,17.8,1.1241476153158192
1925-10-01,17.8,1.0702840031569942
1925-11-01,18.0,1.4164994694078161
1925-12-01,17.8,0.9567569482083419
1926-01-01,17.8,0.9373335848040035
1926-02-01,17.6,0.5442629346095329
1926-03-01,17.3,-0.03533326266688208
1926-04-01,17.3,7.701885780129631e-15
1926-05-01,17.3,0.012076273083661514
1926-06-01,17.3,0.012076273083661514
1926-07-01,17.1,-0.4300977066703528
1926-08-01,17.1,-0.4457604877833316
1926-09-01,17.2,-0.22593339791758152
1926-10-01,17.1,-0.4457604877833316
1926-11-01,17.0,-0.6655875776490896
1926-12-01,16.9,-0.8854146675148475
1927-01-01,16.4,-1.8409398118665707
1927-02-01,16.6,-1.3517935213751686
1927-03-01,16.5,-1.4844130306967946
1927-04-01,16.3,-1.8008299563952437
1927-05-01,16.2,-1.9251244363485136
1927-06-01,16.2,-1.8812090177388288
1927-07-01,16.2,-1.821910457823178
1927-08-01,16.4,-1.4235489076845567
1927-09-01,16.6,-1.0613583108091433
1927-10-01,16.7,-0.8703882797785804
1927-11-01,16.6,-1.005868741258874
1927-12-01,16.6,-0.9543176918309356
1928-01-01,16.6,-0.9026823894326815
1928-02-01,16.5,-1.0168831211361045
1928-03-01,16.5,-0.9643052974036893
1928-04-01,16.7,-0.5789332126984987
1928-05-01,16.8,-0.3726206567625933
1928-06-01,16.7,-0.5091098360002202
1928-07-01,16.8,-0.2830524586751381
1928-08-01,16.8,-0.2363243876070827
1928-09-01,17.0,0.21264719000112217
1928-10-01,16.7,-0.36273812505507114
1928-11-01,16.5,-0.7715590235428732
1928-12-01,16.5,-0.7393946223785882
1929-01-01,16.5,-0.7141924352839908
1929-02-01,16.4,-0.973493194819026
1929-03-01,16.6,-0.3188964020717642
1929-04-01,16.5,-0.5960778584416517
1929-05-01,16.3,-1.226833099458216
1929-06-01,16.4,-0.845817511063905
1929-07-01,16.6,-0.04381079543385011
1929-08-01,16.6,0.011584911442540577
1929-09-01,16.6,0.0895744355212255
1929-10-01,16.4,-0.8040061108528204
1929-11-01,16.1,-2.1782457555822727
1929-12-01,16.1,-2.039183498078299
1930-01-01,15.9,-2.653955210790044
1930-02-01,15.7,-2.9722928902693613
1930-03-01,15.5,-3.0960365397369345
1930-04-01,15.5,-2.6993001261270027
