date,macro_score,liquidity_score,theta_macro_deg,coherence_macro
1926-04-01,7.701885780129631e-15,,,
1926-05-01,0.0120762730836615,,,
1926-06-01,0.0120762730836615,,,
1926-07-01,-0.4300977066703528,,,
1926-08-01,-0.4457604877833316,,,
1926-09-01,-0.2259333979175815,,,
1926-10-01,-0.4457604877833316,,,
1926-11-01,-0.6655875776490896,,,
1926-12-01,-0.8854146675148475,,,
1927-01-01,-1.8409398118665707,,,
1927-02-01,-1.3517935213751686,,,
1927-03-01,-1.4844130306967946,,,
1927-04-01,-1.8008299563952437,,,
1927-05-01,-1.9251244363485136,,,
1927-06-01,-1.8812090177388288,,,
1927-07-01,-1.821910457823178,,,
1927-08-01,-1.4235489076845569,,,
1927-09-01,-1.0613583108091431,,,
1927-10-01,-0.8703882797785804,,,
1927-11-01,-1.005868741258874,,,
1927-12-01,-0.9543176918309356,,,
1928-01-01,-0.9026823894326816,,,
1928-02-01,-1.0168831211361045,,,
1928-03-01,-0.9643052974036892,,,
1928-04-01,-0.5789332126984987,,,
1928-05-01,-0.3726206567625933,,,
1928-06-01,-0.5091098360002202,,,
1928-07-01,-0.2830524586751381,,,
1928-08-01,-0.2363243876070827,,,
1928-09-01,0.2126471900011221,,,
1928-10-01,-0.3627381250550711,,,
1928-11-01,-0.7715590235428732,,,
1928-12-01,-0.7393946223785882,,,
1929-01-01,-0.7141924352839908,,,
1929-02-01,-0.973493194819026,,,
1929-03-01,-0.3188964020717642,,,
1929-04-01,-0.5960778584416517,,,
1929-05-01,-1.226833099458216,,,
1929-06-01,-0.845817511063905,,,
1929-07-01,-0.0438107954338501,,,
1929-08-01,0.0115849114425405,,,
1929-09-01,0.0895744355212255,,,
1929-10-01,-0.8040061108528204,,,
1929-11-01,-2.1782457555822727,,,
1929-12-01,-2.039183498078299,,,
1930-01-01,-2.653955210790044,,,
1930-02-01,-2.9722928902693613,,,
1930-03-01,-3.0960365397369345,,,
1930-04-01,-2.6993001261270027,,,
1930-05-01,-2.8349427452785663,,,
1930-06-01,-3.0349561618107206,,,
1930-07-01,-3.341010628971188,,,
1930-08-01,-2.8451890736038576,,,
1930-09-01,-2.503166326469379,,,
1930-10-01,-2.470391960061623,,,
1930-11-01,-2.524234768657743,,,
1930-12-01,-2.537319120309707,,,
1931-01-01,-2.442109857716177,,,
