date,Close,High,Low,Open,Volume
,XLI,XLI,XLI,XLI,XLI
1998-12-22,14.522221565246582,14.522221565246582,14.473489278114881,14.473489278114881,600
1998-12-23,14.775634765625,14.814620609333774,14.629437851717102,14.629437851717102,900
1998-12-24,14.970551490783691,14.98029794357717,14.863340510055423,14.912072774022818,1400
1998-12-28,15.048528671264648,15.058275127657954,14.9705570201182,14.9705570201182,7400
1998-12-29,15.262955665588379,15.262955665588379,15.126505231796402,15.126505231796402,1400
1998-12-30,15.19472599029541,15.253204730476149,15.15574016350825,15.253204730476149,2800
1998-12-31,15.32142448425293,15.321424484252931,15.16548123250481,15.194720592207583,33100
1999-01-04,15.107013702392578,15.496872120518839,15.107013702392578,15.340928753268335,6400
1999-01-05,15.418892860412598,15.448132227404532,15.194724380141112,15.262949569788956,2000
1999-01-06,15.750271797180176,15.799004073780361,15.565089146099469,15.565089146099469,13500
1999-01-07,15.613821983337402,15.672300717357393,15.496864515297423,15.6333148946774,13100
1999-01-08,15.730786323547363,15.750279243403062,15.487124825351154,15.574842964701789,11000
1999-01-11,15.584586143493652,15.691797180128068,15.516360938362661,15.691797180128068,2200
1999-01-12,15.39940071105957,15.545597553253174,15.35066843032837,15.506611728668211,6500
1999-01-13,15.00954532623291,15.19472802830981,14.970559494216719,14.990052410224814,1700
1999-01-14,14.941317558288574,15.107007315947351,14.941317558288574,14.97055692728718,4100
1999-01-15,15.19472599029541,15.233711817082568,15.019289769753192,15.019289769753192,4900
1999-01-19,15.16549015045166,15.331179952866622,15.038786183899045,15.331179952866622,10100
1999-01-20,15.097262382507324,15.28244507151161,15.097262382507324,15.204473412983491,1700
1999-01-21,14.970551490783691,15.058269565925002,14.960805037990212,15.058269565925002,2500
1999-01-22,14.678166389465332,14.81461680742849,14.678166389465332,14.75613805687285,8700
1999-01-25,14.921828269958496,14.921828269958496,14.726899095955119,14.746392013355456,4600
1999-01-26,14.921828269958496,14.921828269958496,14.921828269958496,14.921828269958496,0
1999-01-27,15.038784980773926,15.097263729889056,15.038784980773926,15.097263729889056,500
1999-01-28,15.058270454406738,15.087509814512382,14.94131301398416,14.990045280826902,1900
1999-01-29,15.155738830566406,15.223964021443553,14.94131680209537,15.116753007208036,109200
1999-02-01,15.175235748291016,15.282446790828716,15.175235748291016,15.282446790828716,2400
1999-02-02,15.058270454406738,15.087509814512382,14.882834293772872,15.068016907775286,20700
1999-02-03,15.204471588134766,15.204471588134766,15.058274745941162,15.058274745941162,20100
1999-02-04,15.223966598510742,15.233713056000184,15.126502023616306,15.184980768552967,6100
1999-02-05,15.175235748291016,15.272700332416198,15.155742831465979,15.272700332416198,4300
1999-02-08,15.223966598510742,15.282445343447401,15.058276821190201,15.282445343447401,2900
1999-02-09,15.019292831420898,15.194729087725621,15.0192928314209,15.194729087725621,4100
1999-02-10,15.07776927947998,15.07776927947998,14.999797621926108,15.07776927947998,5400
1999-02-11,15.282442092895508,15.282442092895508,15.175231083315246,15.175231083315246,3500
1999-02-12,15.19472599029541,15.21421890368899,15.165486620205039,15.21421890368899,2600
1999-02-16,15.272695541381836,15.301934907447022,15.262949086026774,15.29218845209196,3800
1999-02-17,15.272695541381836,15.438385282417887,15.145991621766033,15.145991621766033,5400
1999-02-18,15.272695541381836,15.301934907447022,15.136245166410971,15.175230987831219,4300
1999-02-19,15.370160102844238,15.389653013564397,15.2044703617229,15.2044703617229,2800
1999-02-22,15.604071617126465,15.604071617126465,15.379903192895416,15.379903192895416,6400
1999-02-23,15.594332695007324,15.623572068810462,15.506614573597908,15.555346863269806,5400
1999-02-24,15.555344581604004,15.70154142917547,15.516358755584946,15.691794972670705,5300
1999-02-25,15.243446350097656,15.331164391754228,15.145981859368133,15.331164391754228,3200
1999-02-26,15.292190551757812,15.37990866199734,15.204472441518282,15.321429921837654,3400
1999-03-01,15.282442092895508,15.282442092895508,15.16548462789886,15.262949182062734,3200
1999-03-02,15.155738830566406,15.350667947358257,15.155738830566406,15.321428579839479,47600
1999-03-03,15.068031311035156,15.272707027420498,15.038791922980108,15.272707027420498,13600
1999-03-04,15.360408782958984,15.360408782958984,15.184972642036865,15.184972642036865,15700
1999-03-05,15.701541900634766,15.701541900634764,15.623570246255449,15.623570246255449,5200
1999-03-08,15.789251327514648,15.789251327514648,15.71127971602075,15.760011973204437,1800
1999-03-09,15.867231369018555,15.915963652092936,15.779513259484668,15.789259716099544,1800
1999-03-10,15.837986946105957,15.886719213632437,15.740522411052998,15.80874758559007,2700
1999-03-11,15.857476234436035,16.03291235749679,15.847729783154882,15.847729783154882,1800
1999-03-12,15.906218528747559,15.93545790104305,15.876979156452066,15.876979156452066,2200
