date,value
1976-01-09,-0.67774
1976-01-16,-0.76358
1976-01-23,-0.84302
1976-01-30,-0.91097
1976-02-06,-0.96376
1976-02-13,-0.99883
1976-02-20,-1.0197
1976-02-27,-1.0291
1976-03-05,-1.03005
1976-03-12,-1.02385
1976-03-19,-1.01133
1976-03-26,-0.99082
1976-04-02,-0.96074
1976-04-09,-0.91932
1976-04-16,-0.86628
1976-04-23,-0.80265
1976-04-30,-0.72919
1976-05-07,-0.64835
1976-05-14,-0.56575
1976-05-21,-0.48788
1976-05-28,-0.42213
1976-06-04,-0.37702
1976-06-11,-0.35811
1976-06-18,-0.36646
1976-06-25,-0.40113
1976-07-02,-0.45649
1976-07-09,-0.52583
1976-07-16,-0.60287
1976-07-23,-0.68222
1976-07-30,-0.7584
1976-08-06,-0.82885
1976-08-13,-0.89081
1976-08-20,-0.94306
1976-08-27,-0.98591
1976-09-03,-1.02114
1976-09-10,-1.05094
1976-09-17,-1.07818
1976-09-24,-1.10473
1976-10-01,-1.12957
1976-10-08,-1.15234
1976-10-15,-1.16965
1976-10-22,-1.17805
1976-10-29,-1.17457
1976-11-05,-1.15922
1976-11-12,-1.1326
1976-11-19,-1.09827
1976-11-26,-1.06274
1976-12-03,-1.03185
1976-12-10,-1.01351
1976-12-17,-1.01106
1976-12-24,-1.02706
1976-12-31,-1.05995
1977-01-07,-1.10582
1977-01-14,-1.15676
1977-01-21,-1.20711
1977-01-28,-1.25118
1977-02-04,-1.28449
1977-02-11,-1.30446
1977-02-18,-1.31089
1977-02-25,-1.30418
1977-03-04,-1.28586
1977-03-11,-1.26014
1977-03-18,-1.23057
1977-03-25,-1.20115
1977-04-01,-1.17388
1977-04-08,-1.14937
1977-04-15,-1.12487
1977-04-22,-1.09919
1977-04-29,-1.0703
1977-05-06,-1.04007
1977-05-13,-1.01056
1977-05-20,-0.98633
1977-05-27,-0.9696
1977-06-03,-0.96279
1977-06-10,-0.96638
1977-06-17,-0.97899
1977-06-24,-1.00019
1977-07-01,-1.02793
1977-07-08,-1.05906
1977-07-15,-1.08783
1977-07-22,-1.1092
1977-07-29,-1.11809
1977-08-05,-1.11298
1977-08-12,-1.09525
1977-08-19,-1.06861
1977-08-26,-1.03777
1977-09-02,-1.00514
1977-09-09,-0.97094
1977-09-16,-0.93371
1977-09-23,-0.89313
1977-09-30,-0.84871
1977-10-07,-0.80305
1977-10-14,-0.75809
1977-10-21,-0.71516
1977-10-28,-0.67468
1977-11-04,-0.63538
1977-11-11,-0.59686
1977-11-18,-0.56028
1977-11-25,-0.52868
1977-12-02,-0.50554
1977-12-09,-0.49468
1977-12-16,-0.4971
1977-12-23,-0.51225
1977-12-30,-0.53625
1978-01-06,-0.566
1978-01-13,-0.59734
1978-01-20,-0.62634
1978-01-27,-0.64985
1978-02-03,-0.66425
1978-02-10,-0.66598
1978-02-17,-0.6523
1978-02-24,-0.62305
1978-03-03,-0.58095
1978-03-10,-0.53072
1978-03-17,-0.47722
1978-03-24,-0.42371
1978-03-31,-0.37174
1978-04-07,-0.32056
1978-04-14,-0.26858
1978-04-21,-0.21608
1978-04-28,-0.16422
1978-05-05,-0.11527
1978-05-12,-0.06995
1978-05-19,-0.02915
1978-05-26,0.00793
1978-06-02,0.04236
1978-06-09,0.07258
1978-06-16,0.09825
1978-06-23,0.11644
1978-06-30,0.12566
1978-07-07,0.12493
1978-07-14,0.1127
1978-07-21,0.08742
1978-07-28,0.04766
1978-08-04,-0.00752
1978-08-11,-0.07424
1978-08-18,-0.14156
1978-08-25,-0.19416
1978-09-01,-0.21556
